År;Sektor;Tittel;Navn;Mengde
2018;Veitrafikk;Kjøring i kommunen (1000 km);Busser;6874
2018;Veitrafikk;Kjøring i kommunen (1000 km);Totalt;368471
2019;Veitrafikk;Kjøring i kommunen (1000 km);Personbil;294846
2019;Veitrafikk;Kjøring i kommunen (1000 km);Varebil;46661
2019;Veitrafikk;Kjøring i kommunen (1000 km);Tunge kjøretøy;24993
2019;Veitrafikk;Kjøring i kommunen (1000 km);Busser;6968
2019;Veitrafikk;Kjøring i kommunen (1000 km);Totalt;373467
2020;Veitrafikk;Kjøring i kommunen (1000 km);Personbil;279882
2020;Veitrafikk;Kjøring i kommunen (1000 km);Varebil;48900
2020;Veitrafikk;Kjøring i kommunen (1000 km);Tunge kjøretøy;24061
2020;Veitrafikk;Kjøring i kommunen (1000 km);Busser;6708
2020;Veitrafikk;Kjøring i kommunen (1000 km);Totalt;359552
2021;Veitrafikk;Kjøring i kommunen (1000 km);Personbil;286877
2021;Veitrafikk;Kjøring i kommunen (1000 km);Varebil;49373
2021;Veitrafikk;Kjøring i kommunen (1000 km);Tunge kjøretøy;24115
2021;Veitrafikk;Kjøring i kommunen (1000 km);Busser;6723
2021;Veitrafikk;Kjøring i kommunen (1000 km);Totalt;367088
2016;Veitrafikk;Opphav til kjøring i kommunen (%);Tromsø;99,6
2016;Veitrafikk;Opphav til kjøring i kommunen (%);Balsfjord;0,4
2016;Veitrafikk;Opphav til kjøring i kommunen (%);Karlsøy;0,1
2016;Veitrafikk;Opphav til kjøring i kommunen (%);Storfjord;0
2016;Veitrafikk;Opphav til kjøring i kommunen (%);Målselv;0
2016;Veitrafikk;Opphav til kjøring i kommunen (%);Andre kommuner;0
2009;Veitrafikk;Kjøring med personbil fordelt på drivstofftype (%);El;0
2009;Veitrafikk;Kjøring med personbil fordelt på drivstofftype (%);Bensin;51,9
2009;Veitrafikk;Kjøring med personbil fordelt på drivstofftype (%);Diesel;48,1
2009;Veitrafikk;Kjøring med personbil fordelt på drivstofftype (%);Hybrid;0
2011;Veitrafikk;Kjøring med personbil fordelt på drivstofftype (%);El;0,1
2011;Veitrafikk;Kjøring med personbil fordelt på drivstofftype (%);Bensin;46,2
2011;Veitrafikk;Kjøring med personbil fordelt på drivstofftype (%);Diesel;53,7
2011;Veitrafikk;Kjøring med personbil fordelt på drivstofftype (%);Hybrid;0
2013;Veitrafikk;Kjøring med personbil fordelt på drivstofftype (%);El;0,1
2013;Veitrafikk;Kjøring med personbil fordelt på drivstofftype (%);Bensin;40,5
2013;Veitrafikk;Kjøring med personbil fordelt på drivstofftype (%);Diesel;59,4
2013;Veitrafikk;Kjøring med personbil fordelt på drivstofftype (%);Hybrid;0
2015;Veitrafikk;Kjøring med personbil fordelt på drivstofftype (%);El;0,8
2015;Veitrafikk;Kjøring med personbil fordelt på drivstofftype (%);Bensin;36,8
2015;Veitrafikk;Kjøring med personbil fordelt på drivstofftype (%);Diesel;62,4
2015;Veitrafikk;Kjøring med personbil fordelt på drivstofftype (%);Hybrid;0
2016;Veitrafikk;Kjøring med personbil fordelt på drivstofftype (%);El;1,3
2016;Veitrafikk;Kjøring med personbil fordelt på drivstofftype (%);Bensin;32,7
2016;Veitrafikk;Kjøring med personbil fordelt på drivstofftype (%);Diesel;63,8
2016;Veitrafikk;Kjøring med personbil fordelt på drivstofftype (%);Hybrid;2,2
2017;Veitrafikk;Kjøring med personbil fordelt på drivstofftype (%);El;1,7
2017;Veitrafikk;Kjøring med personbil fordelt på drivstofftype (%);Bensin;30,7
2017;Veitrafikk;Kjøring med personbil fordelt på drivstofftype (%);Diesel;64,3
2017;Veitrafikk;Kjøring med personbil fordelt på drivstofftype (%);Hybrid;3,3
2018;Veitrafikk;Kjøring med personbil fordelt på drivstofftype (%);El;2,5
2018;Veitrafikk;Kjøring med personbil fordelt på drivstofftype (%);Bensin;28,5
2018;Veitrafikk;Kjøring med personbil fordelt på drivstofftype (%);Diesel;63,7
2018;Veitrafikk;Kjøring med personbil fordelt på drivstofftype (%);Hybrid;5,3
2019;Veitrafikk;Kjøring med personbil fordelt på drivstofftype (%);El;3,4
2019;Veitrafikk;Kjøring med personbil fordelt på drivstofftype (%);Bensin;27,3
2019;Veitrafikk;Kjøring med personbil fordelt på drivstofftype (%);Diesel;62,8
2019;Veitrafikk;Kjøring med personbil fordelt på drivstofftype (%);Hybrid;6,5
2020;Veitrafikk;Kjøring med personbil fordelt på drivstofftype (%);El;4,4
2020;Veitrafikk;Kjøring med personbil fordelt på drivstofftype (%);Bensin;25,4
2020;Veitrafikk;Kjøring med personbil fordelt på drivstofftype (%);Diesel;61,4
2020;Veitrafikk;Kjøring med personbil fordelt på drivstofftype (%);Hybrid;8,8
2021;Veitrafikk;Kjøring med personbil fordelt på drivstofftype (%);El;7,4
2021;Veitrafikk;Kjøring med personbil fordelt på drivstofftype (%);Bensin;23,1
2021;Veitrafikk;Kjøring med personbil fordelt på drivstofftype (%);Diesel;58,6
2021;Veitrafikk;Kjøring med personbil fordelt på drivstofftype (%);Hybrid;10,9
2009;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);El;0,1
2009;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);Bensin;11,1
2009;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);Diesel;88,8
2009;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);Hybrid;0
2009;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);Gass;0
2011;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);El;0,2
2011;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);Bensin;7,1
2011;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);Diesel;92,7
2011;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);Hybrid;0
2011;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);Gass;0
2013;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);El;0
2013;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);Bensin;5,2
2013;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);Diesel;94,8
2013;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);Hybrid;0
2013;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);Gass;0
2015;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);El;0,1
2015;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);Bensin;3,7
2015;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);Diesel;96,2
2015;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);Hybrid;0
2015;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);Gass;0
2016;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);El;0,2
2016;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);Bensin;3,1
2016;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);Diesel;96,7
2016;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);Hybrid;0
2016;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);Gass;0
2017;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);El;0,2
2017;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);Bensin;2,9
2017;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);Diesel;96,8
2017;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);Hybrid;0
2017;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);Gass;0
2018;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);El;0,3
2018;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);Bensin;3,1
2018;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);Diesel;96,6
2018;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);Hybrid;0
2018;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);Gass;0
2019;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);El;0,4
2019;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);Bensin;3
2019;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);Diesel;96,5
2019;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);Hybrid;0
2019;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);Gass;0
2020;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);El;0,6
2020;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);Bensin;2,4
2020;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);Diesel;97
2020;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);Hybrid;0
2020;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);Gass;0
2021;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);El;0,6
2021;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);Bensin;2,1
2021;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);Diesel;97,2
2021;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);Hybrid;0,1
2021;Veitrafikk;Kjøring med varebil fordelt på drivstofftype (%);Gass;0
2009;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);El;0
2009;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);Diesel;100
2009;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);Gass;0
2011;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);El;0
2011;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);Diesel;100
2011;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);Gass;0
2013;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);El;0
2013;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);Diesel;100
2013;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);Gass;0
2015;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);El;0
2015;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);Diesel;100
2015;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);Gass;0
2016;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);El;0
2016;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);Diesel;100
2016;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);Gass;0
2017;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);El;0
2017;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);Diesel;100
2017;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);Gass;0
2018;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);El;0
2018;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);Diesel;100
2018;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);Gass;0
2019;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);El;0
2019;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);Diesel;100
2019;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);Gass;0
2020;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);El;0
2020;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);Diesel;100
2020;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);Gass;0
2021;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);El;0
2021;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);Diesel;100
2021;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);Gass;0
2009;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);El;0
2009;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);Diesel;100
2009;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);Gass;0
2011;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);El;0
2011;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);Diesel;100
2011;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);Gass;0
2013;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);El;0
2013;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);Diesel;100
2013;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);Gass;0
2015;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);El;0
2015;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);Diesel;100
2015;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);Gass;0
2016;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);El;0
2016;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);Diesel;100
2016;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);Gass;0
2017;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);El;0
2017;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);Diesel;100
2017;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);Gass;0
2018;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);El;0
2018;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);Diesel;100
2018;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);Gass;0
2019;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);El;0
2019;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);Diesel;100
2019;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);Gass;0
2020;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);El;0
2020;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);Diesel;100
2020;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);Gass;0
2021;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);El;0
2021;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);Diesel;100
2021;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);Gass;0
2021;Veitrafikk;CO2-utslipp fra personbil og varebil fordelt på veitype (%);Europavei;19,5
2021;Veitrafikk;CO2-utslipp fra personbil og varebil fordelt på veitype (%);Riksvei;6,4
2021;Veitrafikk;CO2-utslipp fra personbil og varebil fordelt på veitype (%);Fylkesvei;41,7
2021;Veitrafikk;CO2-utslipp fra personbil og varebil fordelt på veitype (%);Andre veier;32,4
2021;Veitrafikk;CO2-utslipp fra buss fordelt på veitype (%);Europavei;10,5
2021;Veitrafikk;CO2-utslipp fra buss fordelt på veitype (%);Riksvei;3
2021;Veitrafikk;CO2-utslipp fra buss fordelt på veitype (%);Fylkesvei;29,5
2021;Veitrafikk;CO2-utslipp fra buss fordelt på veitype (%);Andre veier;57
2021;Veitrafikk;CO2-utslipp fra tunge kjøretøy fordelt på veitype (%);Europavei;30,9
2021;Veitrafikk;CO2-utslipp fra tunge kjøretøy fordelt på veitype (%);Riksvei;1,7
2021;Veitrafikk;CO2-utslipp fra tunge kjøretøy fordelt på veitype (%);Fylkesvei;60,1
2021;Veitrafikk;CO2-utslipp fra tunge kjøretøy fordelt på veitype (%);Andre veier;7,3
